City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
277,turayf,31.6725,38.6637,85.64,13,0,4.14,SA,1623258153
278,zverinogolovskoye,54.4586,64.8542,56.05,56,31,8.95,RU,1623258153
279,boueni,-12.9025,45.0761,76.98,58,1,13.4,YT,1623258153
280,auki,-8.7676,160.7034,77.18,88,77,3.71,SB,1623258154
281,norman wells,65.282,-126.8329,62.64,51,40,10.36,CA,1623257743
282,nouadhibou,20.931,-17.0347,70.12,75,1,29.64,MR,1623257712
283,leningradskiy,69.3833,178.4167,29.86,92,81,4.43,RU,1623257796
284,ofunato,39.0717,141.7167,59.52,93,3,5.14,JP,1623258154
285,cartagena,10.3997,-75.5144,78.6,86,100,13.13,CO,1623258050
286,bathsheba,13.2167,-59.5167,83.66,69,99,18.68,BB,1623258067
287,san clemente,33.427,-117.612,76.39,73,78,1.01,US,1623258009
288,ambon,-3.6954,128.1814,75.34,94,20,6.2,ID,1623258155
289,pevek,69.7008,170.3133,32.52,94,96,6.35,RU,1623257701
290,wajir,1.7471,40.0573,83.73,50,100,16.51,KE,1623258155
291,adrar,20.5022,-10.0711,112.35,6,4,15.55,MR,1623258156
292,port-gentil,-0.7193,8.7815,78.58,86,100,15.75,GA,1623258156
293,campbell river,50.0163,-125.2446,58.26,75,75,3.44,CA,1623257997
294,samarai,-10.6167,150.6667,79.21,83,89,5.55,PG,1623257827
295,rocha,-34.4833,-54.3333,61.39,86,98,14.58,UY,1623257814
296,shingu,33.7333,135.9833,67.91,70,0,5.7,JP,1623258157
297,southbridge,42.0751,-72.0334,89.82,68,85,7.63,US,1623258059
298,port hueneme,34.1478,-119.1951,78.13,66,1,10.09,US,1623258157
299,rochester,43.1548,-77.6156,84.09,79,76,1.01,US,1623257810
300,monze,-16.2833,27.4833,58.77,62,14,6.64,ZM,1623258157
301,muroto,33.2833,134.15,71.01,81,1,10.16,JP,1623258039
302,tevaitoa,-16.7833,-151.5,80.01,79,80,14.43,PF,1623258158
303,lorengau,-2.0226,147.2712,81.05,81,74,7.02,PG,1623257827
304,grindavik,63.8424,-22.4338,53.55,100,90,10.92,IS,1623257783
305,elmadag,39.9208,33.2308,64.26,64,49,5.84,TR,1623258158
306,los llanos de aridane,28.6585,-17.9182,80.35,32,0,5.57,ES,1623257706
307,imeni zhelyabova,58.9544,36.5956,62.42,50,4,4.74,RU,1623258158
308,gamba,-2.65,10.0,77.29,86,100,9.04,GA,1623258159
309,shudayag,63.5266,53.6058,58.19,48,94,4.0,RU,1623258159
310,cache creek,50.8101,-121.3246,59.92,51,19,4.79,CA,1623258116
311,dwarahat,29.7833,79.4333,75.88,45,23,3.15,IN,1623258159
312,mountain home,43.133,-115.6912,75.81,34,16,14.65,US,1623257917
313,bay roberts,47.5999,-53.2648,57.06,63,100,5.01,CA,1623258160
314,araguaina,-7.1911,-48.2072,91.02,31,100,6.91,BR,1623257691
315,dongsheng,39.8161,109.9776,54.61,59,52,5.99,CN,1623258160
316,hamilton,39.1834,-84.5333,74.25,95,90,1.01,US,1623257430
317,tomatlan,19.9333,-105.25,94.33,38,70,5.28,MX,1623258160
318,craig,40.5153,-107.5464,77.99,16,0,4.23,US,1623257886
319,senanga,-16.1167,23.2667,64.67,33,33,4.63,ZM,1623258161
320,nouakchott,18.0858,-15.9785,76.93,78,8,13.42,MR,1623258161
321,kloulklubed,7.0419,134.2556,77.5,72,32,3.62,PW,1623257731
322,codrington,-38.2667,141.9667,54.43,77,91,26.42,AU,1623257794
323,balkanabat,39.5108,54.3671,85.39,33,0,7.7,TM,1623258161
324,elizabeth city,36.2946,-76.2511,89.65,72,75,1.99,US,1623258162
325,vao,-22.6667,167.4833,69.04,66,67,8.93,NC,1623257800
326,temir,49.1414,57.13,62.08,77,100,8.99,KZ,1623258162
327,robertsport,6.7533,-11.3686,82.78,73,49,9.86,LR,1623258162
328,morondava,-20.2833,44.2833,74.08,61,1,9.82,MG,1623258163
329,myitkyina,25.3833,97.4,77.4,92,100,1.03,MM,1623258163
330,siderno,38.2779,16.302,75.15,75,95,9.66,IT,1623258163
331,broome,42.2506,-75.833,83.7,64,75,1.99,US,1623257785
332,college,64.8569,-147.8028,55.09,83,40,0.0,US,1623257763
333,hami,42.8,93.45,77.85,30,100,6.96,CN,1623257713
334,bijie,27.3125,105.2942,59.27,96,100,3.13,CN,1623258164
335,vila velha,-20.3297,-40.2925,78.75,78,40,3.0,BR,1623257713
336,coquimbo,-29.9533,-71.3436,63.0,64,63,4.47,CL,1623258164
337,los alamos,35.8881,-106.307,81.68,11,98,1.01,US,1623258018
338,alofi,-19.0595,-169.9187,75.09,78,97,6.91,NU,1623257727
339,hamadan,34.7992,48.5146,70.79,14,0,6.91,IR,1623258165
340,saint-augustin,51.226,-58.6502,58.17,33,59,7.0,CA,1623258165
341,flin flon,54.7682,-101.865,60.82,55,100,9.24,CA,1623258007
342,grand gaube,-20.0064,57.6608,73.8,68,1,5.99,MU,1623257713
343,severnyy,50.677,36.5532,68.04,64,75,8.95,RU,1623258166
344,sola,-13.8833,167.55,79.92,76,85,18.92,VU,1623257769
345,medvedka,61.1629,46.387,59.77,52,9,3.53,RU,1623258166
346,ilulissat,69.2167,-51.1,42.01,59,2,4.5,GL,1623257755
347,kanchanaburi,14.6333,99.1,75.25,91,99,3.24,TH,1623258166
348,aykhal,66.0,111.5,47.82,49,100,24.79,RU,1623258167
349,tambacounda,13.7539,-13.7586,104.22,26,97,6.17,SN,1623258085
350,bonfim,3.0833,-59.95,76.28,87,100,2.86,BR,1623258167
351,san patricio,28.017,-97.5169,91.49,64,34,16.4,US,1623257802
352,nalut,30.3333,10.85,92.14,16,15,22.24,LY,1623257800
353,bengkulu,-3.8004,102.2655,75.0,91,61,4.25,ID,1623257721
354,hays,30.0502,-98.0336,86.85,78,97,4.0,US,1623258167
355,virginia beach,36.8529,-75.978,89.67,68,100,3.0,US,1623257853
356,stornoway,58.2093,-6.3865,57.16,94,75,19.57,GB,1623258168
357,starup,55.241,9.535,73.22,56,0,7.52,DK,1623258168
358,manavalakurichi,8.1333,77.3,82.49,83,74,15.28,IN,1623258168
359,ashtabula,41.7001,-80.7665,81.95,78,75,3.6,US,1623258169
360,kitimat,54.0524,-128.6534,53.98,95,100,1.99,CA,1623257951
361,nhulunbuy,-12.2333,136.7667,75.81,64,90,13.8,AU,1623257714
362,port hardy,50.6996,-127.4199,52.34,73,65,4.32,CA,1623258169
363,mindelo,16.8901,-24.9804,81.95,51,0,19.28,CV,1623258169
364,kamenka,51.3223,42.7678,63.88,80,80,4.14,RU,1623258170
